,external_gene_name,ate,lower_bound,upper_bound
ENSG00000072501.16,SMC1A,-4.3681,-9.1681,0.73185
ENSG00000114200.8,BCHE,-4.3953,-9.2953,0.50473
ENSG00000109452.11,INPP4B,-4.5801,-14.88,6.3199
ENSG00000183091.18,NEB,-4.5803,-8.5803,-1.0803
ENSG00000138639.16,ARHGAP24,-4.6095,-8.3095,-0.60947
ENSG00000135643.4,KCNMB4,-4.6922,-8.5922,-0.9922
ENSG00000234456.6,MAGI2-AS3,-4.7229,-11.923,2.6771
ENSG00000134569.8,LRP4,-4.9144,-9.9144,0.38556999999999997
ENSG00000101333.15,PLCB4,-5.2254,-12.125,2.0746
ENSG00000185532.13,PRKG1,-5.3931,-15.193,4.5069
ENSG00000105968.17,H2AZ2,-5.8044,-11.904000000000002,0.19564
ENSG00000118922.15,KLF12,-5.8999,-11.4,-0.29991999999999996
ENSG00000038295.6,TLL1,-5.9395,-10.539000000000001,-0.73949
ENSG00000106819.10,ASPN,-6.1705,-13.770999999999999,2.0295
ENSG00000117834.11,SLC5A9,-6.3502,-11.05,-1.9502
ENSG00000198771.9,RCSD1,-6.4952,-12.895,-0.49517
ENSG00000205726.12,ITSN1,-6.7977,-13.898,0.60229
ENSG00000171243.7,SOSTDC1,-6.8499,-15.35,0.7500600000000001
ENSG00000100592.14,DAAM1,-6.8514,-15.651,1.6486
ENSG00000169855.18,ROBO1,-6.9541,-12.754000000000001,-0.8540700000000001
ENSG00000147408.13,CSGALNACT1,-7.1067,-14.507,0.8933399999999999
